Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
TAUSE_DEIRATE,Lakes Plain,-2.83,137.0,2.83,32,32,12,32,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUSE_WEIRATE,Lakes Plain,-2.83,137.0,2.83,35,35,13,35,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUSHIRO,Taushiro,-2.5,-76.0,2.5,35,24,24,35,0.3142857142857143,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TAUSUG,Austronesian,6.0,121.0,6.0,37,1,6,36,0.972972972972973,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUTU,Austronesian,-16.02,167.37,16.02,36,23,4,36,0.3888888888888889,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUT_BATU,Austronesian,9.17,118.0,9.17,31,11,2,31,0.6451612903225806,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUYA,Nuclear Trans New Guinea,-5.75,145.33,5.75,39,34,17,35,0.1282051282051282,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUYA_2,Nuclear Trans New Guinea,-5.75,145.33,5.75,101,100,24,98,0.009900990099009901,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAVETA,Atlantic-Congo,-3.33,37.75,3.33,34,34,4,34,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TAVETA_2,Atlantic-Congo,-3.5,37.3,3.5,93,93,12,73,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TAVETA_3,Atlantic-Congo,-3.5,37.3,3.5,84,84,13,74,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TAWALA,Austronesian,-10.33,150.67,10.33,35,33,6,34,0.05714285714285714,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAWARA,Atlantic-Congo,-16.02,31.62,16.02,15,15,3,15,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
