Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Ongota,1,0,0.0,0.7718446601941747,206.0,5.29807,Lexibank,0.0
Paezan,1,0,0.0,0.43434343434343436,99.0,2.61516,Lexibank,0.0
Pahoturi,1,0,0.0,0.399822695035461,1128.0,8.957786,Lexibank,0.0
Palaihnihan,1,0,0.0,0.5513307984790875,263.0,41.0979,Lexibank,0.0
Papi,1,0,0.0,0.970873786407767,103.0,4.4725,Lexibank,0.0
Pauwasi,2,0,0.0,0.7067303662727349,110.0,3.51178,Lexibank,0.0
Pawaia,1,0,0.0,0.9507042253521126,284.0,6.88021,Lexibank,0.0
Piawi,5,0,0.0,0.7429628005137856,111.0,5.113832,Lexibank,0.0
Pirahã,1,0,0.0,0.9746192893401016,197.0,6.77713,Lexibank,0.0
Pomoan,1,0,0.0,0.7868852459016393,183.0,38.7643,Lexibank,0.0
Puelche,2,0,0.0,0.5297691805938488,499.0,42.223,Lexibank,0.0
Puinave,5,0,0.0,0.335644943312756,265.0,3.92974,Lexibank,0.0
Pyu,1,0,0.0,0.3875968992248062,129.0,4.45003,Lexibank,0.0
Páez,5,0,0.0,0.4640075959091364,303.0,2.61516,Lexibank,0.0
Quechuan,43,0,0.0,0.8727438345037689,152.0,9.435525069767442,Lexibank,0.0
Ramu,1,0,0.0,0.3893805309734513,113.0,4.56615,Lexibank,0.0
Sahaptian,2,0,0.0,0.3129770318021201,241.5,46.224999999999994,Lexibank,0.0
Saharan,6,0,0.0,0.8025617805226753,269.5,12.8178,Lexibank,0.0
Saliban,6,0,0.0,0.8266100256346333,238.0,5.006783333333334,Lexibank,0.0
Salinan,3,0,0.0,0.4604998305532901,206.0,37.6646,Lexibank,0.0
Salishan,12,0,0.0,0.24882441228791105,187.0,49.305692666666666,Lexibank,0.0
Sandawe,2,0,0.0,0.8860059825725062,166.0,5.26918,Lexibank,0.0
Senagi,2,0,0.0,0.9665340986125548,156.0,3.52309,Lexibank,0.0
Sentanic,2,0,0.0,0.8196595540637737,156.0,2.6013,Lexibank,0.0
Sepik,8,0,0.0,0.5168848146993811,156.0,4.35351875,Lexibank,0.0
Seri,3,0,0.0,0.312364048036663,282.0,28.9877,Lexibank,0.0
Shastan,1,0,0.0,0.7127659574468085,94.0,41.7587,Lexibank,0.0
Shom Peng,1,0,0.0,0.6354166666666666,192.0,7.02099,Lexibank,0.0
Siouan,1,0,0.0,0.9359430604982206,281.0,46.3699,Lexibank,0.0
Sko,2,0,0.0,0.9425476179904986,162.0,2.858205,Lexibank,0.0
Songhay,5,0,0.0,0.8401473044518001,267.0,14.96304666,Lexibank,0.0
South Bougainville,2,0,0.0,0.9550697160011059,179.0,6.70051,Lexibank,0.0
South Omotic,1,0,0.0,0.556,250.0,6.20951,Lexibank,0.0
Southern Daly,1,0,0.0,0.4293785310734463,177.0,14.74852,Lexibank,0.0
Sulka,1,0,0.0,0.34415584415584416,154.0,5.03471,Lexibank,0.0
Sumerian,1,0,0.0,0.45454545454545453,231.0,31.3,Lexibank,0.0
Surmic,1,0,0.0,0.7717842323651453,241.0,6.03205,Lexibank,0.0
Ta-Ne-Omotic,1,0,0.0,0.9691629955947136,227.0,7.27424,Lexibank,0.0
Tabo,1,0,0.0,0.9864864864864865,148.0,8.09387,Lexibank,0.0
Tai-Kadai,73,0,0.0,0.4481959967617176,520.0,22.338986784931507,Lexibank,0.0
Takelma,1,0,0.0,0.41379310344827586,203.0,42.423,Lexibank,0.0
Tangkic,1,0,0.0,0.9919678714859438,249.0,17.0695,Lexibank,0.0
Tarascan,2,0,0.0,0.9922998986828775,152.0,19.39295,Lexibank,0.0
Tauade,1,0,0.0,0.9704918032786886,305.0,8.3486,Lexibank,0.0
Taushiro,3,0,0.0,0.6717437533227008,200.0,3.2249700000000003,Lexibank,0.0
Tequistlatecan,1,0,0.0,0.625,256.0,16.1849,Lexibank,0.0
