Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Andoque,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ANDOQUERO,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ANDRO,1,0.0,0.0,0.0,1.0,0.0,1.0
Anem,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ARAMAIC_ANCIENT,1,0.0,0.0,0.0,1.0,0.0,1.0
Atakapa,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__AURAN_KULON_PAZEH,1,0.0,0.0,0.0,1.0,0.0,1.0
Arutani,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__AYOMAN,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BALADE,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BANGRU,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BARRANBIYA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BASUM,1,0.0,0.0,0.0,1.0,0.0,1.0
North-Eastern Tasmanian,1,0.0,0.0,0.0,1.0,0.0,1.0
Beothuk,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BETOI,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BIGAMBAL,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BIRRDHAWAL,1,0.0,0.0,0.0,1.0,0.0,1.0
Bogaya,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BULU_PUROIK,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BUTAM,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__BUU_ZARANDA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CAIJIA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CAMBERRA_LANGUAGE,1,0.0,0.0,0.0,1.0,0.0,1.0
Candoshi-Shapra,1,0.0,0.0,0.0,1.0,0.0,1.0
Canichana,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CARIB_1665,1,0.0,0.0,0.0,1.0,0.0,1.0
Cayubaba,1,0.0,0.0,0.0,1.0,0.0,1.0
Cayuse,1,0.0,0.0,0.0,0.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CHALON,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CHANA,1,0.0,0.0,0.0,1.0,0.0,1.0
Chiquitano,1,0.0,0.0,0.0,1.0,0.0,1.0
Hibito-Cholon,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__CHOLTI,1,0.0,0.0,0.0,0.0,0.0,1.0
Coahuilteco,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__COERUNA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__COLAC,1,0.0,0.0,0.0,1.0,0.0,1.0
Comecrudan,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__COMMON_TOCHARIAN,1,0.0,0.0,0.0,1.0,0.0,1.0
Cotoname,1,0.0,0.0,0.0,1.0,0.0,1.0
