Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
ISOLATE_OR_UNKNOWN__PROTO_AYMARAN,1,1.0,0.0,0.0,1.0,1.0,0.3358333333333333
ISOLATE_OR_UNKNOWN__PROTO_CARIBAN,1,1.0,0.0,0.0,1.0,1.0,0.34833333333333333
ISOLATE_OR_UNKNOWN__PROTO_IJOID,1,1.0,0.0,0.0,1.0,1.0,0.3616666666666667
ISOLATE_OR_UNKNOWN__PROTO_JIVAROAN,1,1.0,0.0,0.0,1.0,1.0,0.3725
ISOLATE_OR_UNKNOWN__PROTO_MAZATEC,1,1.0,0.0,0.0,1.0,1.0,0.30333333333333334
ISOLATE_OR_UNKNOWN__PROTO_MICRONESIAN,1,1.0,0.0,0.0,1.0,1.0,0.3408333333333333
ISOLATE_OR_UNKNOWN__PROTO_POLYNESIAN_2,1,1.0,0.0,0.0,1.0,1.0,0.32916666666666666
ISOLATE_OR_UNKNOWN__PROTO_TSOUIC,1,1.0,0.0,0.0,1.0,1.0,0.345
ISOLATE_OR_UNKNOWN__PROTO_URALIC,1,1.0,0.0,0.0,1.0,1.0,0.24416666666666667
Savosavo,1,1.0,0.0,0.0,1.0,1.0,0.3125
ISOLATE_OR_UNKNOWN__TAHITIAN_18TH_CENTURY,1,1.0,0.0,0.0,1.0,1.0,0.3275
Tanahmerah,1,1.0,0.0,0.0,1.0,1.0,0.3308333333333333
Timucua,1,1.0,0.0,0.0,1.0,1.0,0.25583333333333336
Tiwi,1,1.0,0.0,0.0,1.0,1.0,0.2833333333333333
Warao,1,1.0,0.0,0.0,1.0,1.0,0.2941666666666667
Wiru,1,1.0,0.0,0.0,1.0,1.0,0.31833333333333336
Pumé,1,1.0,0.0,0.0,1.0,1.0,0.37166666666666665
ISOLATE_OR_UNKNOWN__YONGHE_QIANG,1,1.0,0.0,0.0,1.0,1.0,0.32666666666666666
Yuchi,1,1.0,0.0,0.0,1.0,1.0,0.3016666666666667
Bilua,2,1.0,0.5,0.0,1.0,0.5,0.2875
Artificial Language,2,0.5,0.0,0.0,1.0,0.5,0.3575
Fasu,2,1.0,0.5,0.0,1.0,0.5,0.23833333333333334
Kibiri,2,1.0,0.5,0.0,1.0,0.5,0.265
Touo,2,1.0,0.5,0.0,1.0,0.5,0.24583333333333332
Tauade,2,0.5,0.0,0.0,1.0,0.5,0.4533333333333333
Keresan,3,1.0,0.6666666666666666,0.0,1.0,0.33333333333333337,0.1925
Bororoan,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.4275
Kunama,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.39666666666666667
Kehu,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.39916666666666667
Boran,4,0.75,0.5,0.0,1.0,0.25,0.3675
Maningrida,4,0.5,0.25,0.0,1.0,0.25,0.38416666666666666
Tangkic,4,0.25,0.0,0.0,0.5,0.25,0.4633333333333333
Pidgin,4,0.25,0.0,0.0,0.75,0.25,0.4766666666666667
Tarascan,4,0.75,0.5,0.0,1.0,0.25,0.3541666666666667
Huitotoan,10,0.8,0.6,0.2,1.0,0.20000000000000007,0.29333333333333333
Yareban,5,0.8,0.6,0.0,1.0,0.20000000000000007,0.25416666666666665
Mirndi,10,0.5,0.3,0.0,0.7024999999999864,0.2,0.2891666666666667
Guaicuruan,5,0.2,0.0,0.0,0.4,0.2,0.19083333333333333
Bookkeeping,17,0.17647058823529413,0.0,0.0,0.17647058823529413,0.17647058823529413,0.025833333333333333
Teberan,6,0.8333333333333334,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666674,0.25833333333333336
Manubaran,6,0.8333333333333334,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666674,0.26166666666666666
Kwalean,6,0.5,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666669,0.4216666666666667
Guahiboan,6,0.3333333333333333,0.16666666666666666,0.0,0.5,0.16666666666666666,0.20083333333333334
Kolopom,6,0.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.3233333333333333
Eleman,18,1.0,0.8333333333333334,0.6111111111111112,1.0,0.16666666666666663,0.09666666666666666
